timestamp,concurrency
2019-01-08 13:25:00,650557
2019-01-08 13:26:00,623765
2019-01-08 13:27:00,631094
2019-01-08 13:28:00,639243
2019-01-08 13:29:00,636311
2019-01-08 13:30:00,714960
2019-01-08 13:31:00,672854
2019-01-08 13:32:00,668988
2019-01-08 13:33:00,653999
2019-01-08 13:34:00,605406
2019-01-08 13:35:00,623308
2019-01-08 13:36:00,614325
2019-01-08 13:37:00,625412
2019-01-08 13:38:00,625355
2019-01-08 13:39:00,632645
2019-01-08 13:40:00,668198
2019-01-08 13:41:00,672071
2019-01-08 13:42:00,675344
2019-01-08 13:43:00,674839
2019-01-08 13:44:00,664386
2019-01-08 13:45:00,698275
2019-01-08 13:46:00,686705
2019-01-08 13:47:00,705588
2019-01-08 13:48:00,674883
2019-01-08 13:49:00,666435
2019-01-08 13:50:00,701978
2019-01-08 13:51:00,679270
2019-01-08 13:52:00,657333
2019-01-08 13:53:00,656209
2019-01-08 13:54:00,653762
2019-01-08 13:55:00,639373
2019-01-08 13:56:00,641056
2019-01-08 13:57:00,655200
2019-01-08 13:58:00,668776
2019-01-08 13:59:00,662483
2019-01-08 14:00:00,770585
2019-01-08 14:01:00,720150
2019-01-08 14:02:00,673525
2019-01-08 14:03:00,673650
2019-01-08 14:04:00,690975
2019-01-08 14:05:00,677108
2019-01-08 14:06:00,641290
2019-01-08 14:07:00,687264
2019-01-08 14:08:00,746428
2019-01-08 14:09:00,733686
2019-01-08 14:10:00,755133
2019-01-08 14:11:00,769910
2019-01-08 14:12:00,751923
2019-01-08 14:13:00,702298
2019-01-08 14:14:00,669287
2019-01-08 14:15:00,694004
2019-01-08 14:16:00,688030
2019-01-08 14:17:00,687000
2019-01-08 14:18:00,676259
2019-01-08 14:19:00,661799
2019-01-08 14:20:00,718990
2019-01-08 14:21:00,701816
2019-01-08 14:22:00,703207
2019-01-08 14:23:00,673011
2019-01-08 14:24:00,672295
2019-01-08 14:25:00,678215
2019-01-08 14:26:00,683718
2019-01-08 14:27:00,683617
2019-01-08 14:28:00,687429
2019-01-08 14:29:00,688472
2019-01-08 14:30:00,735245
2019-01-08 14:31:00,686929
2019-01-08 14:32:00,649477
2019-01-08 14:33:00,702972
2019-01-08 14:34:00,679069
2019-01-08 14:35:00,693321
2019-01-08 14:36:00,641261
2019-01-08 14:37:00,668445
2019-01-08 14:38:00,675967
2019-01-08 14:39:00,676084
2019-01-08 14:40:00,687805
2019-01-08 14:41:00,655388
2019-01-08 14:42:00,669769
2019-01-08 14:43:00,667471
2019-01-08 14:44:00,668772
2019-01-08 14:45:00,719840
2019-01-08 14:46:00,693201
2019-01-08 14:47:00,672219
2019-01-08 14:48:00,685268
2019-01-08 14:49:00,661279
2019-01-08 14:50:00,658302
2019-01-08 14:51:00,699827
2019-01-08 14:52:00,650427
2019-01-08 14:53:00,676202
2019-01-08 14:54:00,632592
2019-01-08 14:55:00,680402
2019-01-08 14:56:00,677956
2019-01-08 14:57:00,669241
2019-01-08 14:58:00,653859
2019-01-08 14:59:00,656596
2019-01-08 15:00:00,780628
2019-01-08 15:01:00,717271
2019-01-08 15:02:00,683871
2019-01-08 15:03:00,688749
2019-01-08 15:04:00,654268
2019-01-08 15:05:00,684918
2019-01-08 15:06:00,708740
2019-01-08 15:07:00,709956
2019-01-08 15:08:00,673622
2019-01-08 15:09:00,719000
2019-01-08 15:10:00,767766
2019-01-08 15:11:00,739053
2019-01-08 15:12:00,749782
2019-01-08 15:13:00,770352
2019-01-08 15:14:00,773665
2019-01-08 15:15:00,779899
2019-01-08 15:16:00,724135
2019-01-08 15:17:00,740334
2019-01-08 15:18:00,685711
2019-01-08 15:19:00,667607
2019-01-08 15:20:00,705777
2019-01-08 15:21:00,673708
2019-01-08 15:22:00,693841
2019-01-08 15:23:00,710039
2019-01-08 15:24:00,699677
2019-01-08 15:25:00,701184
2019-01-08 15:26:00,678367
2019-01-08 15:27:00,687197
2019-01-08 15:28:00,679411
2019-01-08 15:29:00,668834
2019-01-08 15:30:00,744067
2019-01-08 15:31:00,734084
2019-01-08 15:32:00,690599
2019-01-08 15:33:00,652353
2019-01-08 15:34:00,661816
2019-01-08 15:35:00,678487
2019-01-08 15:36:00,650277
2019-01-08 15:37:00,682039
2019-01-08 15:38:00,683328
2019-01-08 15:39:00,673873
2019-01-08 15:40:00,756892
2019-01-08 15:41:00,703672
2019-01-08 15:42:00,688693
2019-01-08 15:43:00,677612
2019-01-08 15:44:00,690145
2019-01-08 15:45:00,704002
2019-01-08 15:46:00,705177
2019-01-08 15:47:00,704681
2019-01-08 15:48:00,682042
2019-01-08 15:49:00,690574
2019-01-08 15:50:00,694624
2019-01-08 15:51:00,639944
2019-01-08 15:52:00,638955
2019-01-08 15:53:00,659112
2019-01-08 15:54:00,636240
2019-01-08 15:55:00,641795
2019-01-08 15:56:00,623169
2019-01-08 15:57:00,654260
2019-01-08 15:58:00,650360
2019-01-08 15:59:00,644483
2019-01-08 16:00:00,758290
2019-01-08 16:01:00,663233
2019-01-08 16:02:00,692758
2019-01-08 16:03:00,664348
2019-01-08 16:04:00,662955
2019-01-08 16:05:00,678497
2019-01-08 16:06:00,664447
2019-01-08 16:07:00,757256
2019-01-08 16:08:00,747995
2019-01-08 16:09:00,760707
2019-01-08 16:10:00,790337
2019-01-08 16:11:00,785466
2019-01-08 16:12:00,701647
2019-01-08 16:13:00,642567
2019-01-08 16:14:00,647607
2019-01-08 16:15:00,656566
2019-01-08 16:16:00,674580
2019-01-08 16:17:00,664711
2019-01-08 16:18:00,666769
2019-01-08 16:19:00,636908
2019-01-08 16:20:00,674289
2019-01-08 16:21:00,631699
2019-01-08 16:22:00,635960
2019-01-08 16:23:00,648930
2019-01-08 16:24:00,647370
2019-01-08 16:25:00,648127
2019-01-08 16:26:00,655749
2019-01-08 16:27:00,653663
2019-01-08 16:28:00,598651
2019-01-08 16:29:00,647393
2019-01-08 16:30:00,690582
2019-01-08 16:31:00,671843
2019-01-08 16:32:00,654357
2019-01-08 16:33:00,633924
2019-01-08 16:34:00,641576
2019-01-08 16:35:00,664587
2019-01-08 16:36:00,644906
2019-01-08 16:37:00,637869
2019-01-08 16:38:00,642163
2019-01-08 16:39:00,644497
2019-01-08 16:40:00,664670
2019-01-08 16:41:00,628391
2019-01-08 16:42:00,642012
2019-01-08 16:43:00,626898
2019-01-08 16:44:00,620443
2019-01-08 16:45:00,588068
2019-01-08 16:46:00,643106
2019-01-08 16:47:00,641805
2019-01-08 16:48:00,635024
2019-01-08 16:49:00,611194
2019-01-08 16:50:00,623083
2019-01-08 16:51:00,639035
2019-01-08 16:52:00,627105
2019-01-08 16:53:00,614964
2019-01-08 16:54:00,605958
2019-01-08 16:55:00,618140
2019-01-08 16:56:00,627491
2019-01-08 16:57:00,625246
2019-01-08 16:58:00,625071
2019-01-08 16:59:00,636402
2019-01-08 17:00:00,729494
2019-01-08 17:01:00,678654
2019-01-08 17:02:00,662689
2019-01-08 17:03:00,636336
2019-01-08 17:04:00,680519
2019-01-08 17:05:00,679601
2019-01-08 17:06:00,688931
2019-01-08 17:07:00,737185
2019-01-08 17:08:00,703323
2019-01-08 17:09:00,718947
2019-01-08 17:10:00,774299
2019-01-08 17:11:00,716564
2019-01-08 17:12:00,712499
2019-01-08 17:13:00,691876
2019-01-08 17:14:00,658397
2019-01-08 17:15:00,663550
2019-01-08 17:16:00,659182
2019-01-08 17:17:00,635863
2019-01-08 17:18:00,655701
2019-01-08 17:19:00,642381
2019-01-08 17:20:00,673235
2019-01-08 17:21:00,662058
2019-01-08 17:22:00,655707
2019-01-08 17:23:00,658614
2019-01-08 17:24:00,646185
2019-01-08 17:25:00,631533
2019-01-08 17:26:00,656257
2019-01-08 17:27:00,639630
2019-01-08 17:28:00,621242
2019-01-08 17:29:00,575805
2019-01-08 17:30:00,716723
2019-01-08 17:31:00,649055
2019-01-08 17:32:00,657967
2019-01-08 17:33:00,654432
2019-01-08 17:34:00,651736
2019-01-08 17:35:00,656921
2019-01-08 17:36:00,641842
2019-01-08 17:37:00,640605
2019-01-08 17:38:00,634816
2019-01-08 17:39:00,624518
2019-01-08 17:40:00,660497
2019-01-08 17:41:00,652787
2019-01-08 17:42:00,648069
2019-01-08 17:43:00,631566
2019-01-08 17:44:00,634356
2019-01-08 17:45:00,657627
2019-01-08 17:46:00,678807
2019-01-08 17:47:00,662326
2019-01-08 17:48:00,653518
2019-01-08 17:49:00,639784
2019-01-08 17:50:00,661852
2019-01-08 17:51:00,615266
2019-01-08 17:52:00,653136
2019-01-08 17:53:00,623677
2019-01-08 17:54:00,623937
2019-01-08 17:55:00,628346
2019-01-08 17:56:00,624238
2019-01-08 17:57:00,619137
2019-01-08 17:58:00,608677
2019-01-08 17:59:00,626514
2019-01-08 18:00:00,718556
