timestamp,concurrency,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_1440
2025-01-02 01:10:00,58,45.0,48.0,48.0,73.0,46.0,53.0,34.0,45.0,44.0,104.0,66.0
2025-01-02 01:11:00,35,58.0,45.0,48.0,48.0,73.0,46.0,53.0,34.0,45.0,44.0,42.0
2025-01-02 01:12:00,54,35.0,58.0,45.0,48.0,48.0,73.0,46.0,53.0,34.0,45.0,34.0
2025-01-02 01:13:00,50,54.0,35.0,58.0,45.0,48.0,48.0,73.0,46.0,53.0,34.0,60.0
2025-01-02 01:14:00,28,50.0,54.0,35.0,58.0,45.0,48.0,48.0,73.0,46.0,53.0,36.0
2025-01-02 01:15:00,53,28.0,50.0,54.0,35.0,58.0,45.0,48.0,48.0,73.0,46.0,42.0
2025-01-02 01:16:00,53,53.0,28.0,50.0,54.0,35.0,58.0,45.0,48.0,48.0,73.0,45.0
2025-01-02 01:17:00,28,53.0,53.0,28.0,50.0,54.0,35.0,58.0,45.0,48.0,48.0,36.0
2025-01-02 01:18:00,30,28.0,53.0,53.0,28.0,50.0,54.0,35.0,58.0,45.0,48.0,29.0
2025-01-02 01:19:00,29,30.0,28.0,53.0,53.0,28.0,50.0,54.0,35.0,58.0,45.0,30.0
2025-01-02 01:20:00,51,29.0,30.0,28.0,53.0,53.0,28.0,50.0,54.0,35.0,58.0,73.0
2025-01-02 01:21:00,53,51.0,29.0,30.0,28.0,53.0,53.0,28.0,50.0,54.0,35.0,68.0
2025-01-02 01:22:00,47,53.0,51.0,29.0,30.0,28.0,53.0,53.0,28.0,50.0,54.0,30.0
2025-01-02 01:23:00,48,47.0,53.0,51.0,29.0,30.0,28.0,53.0,53.0,28.0,50.0,42.0
2025-01-02 01:24:00,55,48.0,47.0,53.0,51.0,29.0,30.0,28.0,53.0,53.0,28.0,55.0
2025-01-02 01:25:00,48,55.0,48.0,47.0,53.0,51.0,29.0,30.0,28.0,53.0,53.0,44.0
2025-01-02 01:26:00,41,48.0,55.0,48.0,47.0,53.0,51.0,29.0,30.0,28.0,53.0,70.0
2025-01-02 01:27:00,39,41.0,48.0,55.0,48.0,47.0,53.0,51.0,29.0,30.0,28.0,39.0
2025-01-02 01:28:00,45,39.0,41.0,48.0,55.0,48.0,47.0,53.0,51.0,29.0,30.0,46.0
2025-01-02 01:29:00,33,45.0,39.0,41.0,48.0,55.0,48.0,47.0,53.0,51.0,29.0,32.0
2025-01-02 01:30:00,66,33.0,45.0,39.0,41.0,48.0,55.0,48.0,47.0,53.0,51.0,89.0
2025-01-02 01:31:00,45,66.0,33.0,45.0,39.0,41.0,48.0,55.0,48.0,47.0,53.0,100.0
2025-01-02 01:32:00,32,45.0,66.0,33.0,45.0,39.0,41.0,48.0,55.0,48.0,47.0,47.0
2025-01-02 01:33:00,62,32.0,45.0,66.0,33.0,45.0,39.0,41.0,48.0,55.0,48.0,74.0
2025-01-02 01:34:00,63,62.0,32.0,45.0,66.0,33.0,45.0,39.0,41.0,48.0,55.0,46.0
2025-01-02 01:35:00,46,63.0,62.0,32.0,45.0,66.0,33.0,45.0,39.0,41.0,48.0,50.0
2025-01-02 01:36:00,68,46.0,63.0,62.0,32.0,45.0,66.0,33.0,45.0,39.0,41.0,61.0
2025-01-02 01:37:00,66,68.0,46.0,63.0,62.0,32.0,45.0,66.0,33.0,45.0,39.0,42.0
2025-01-02 01:38:00,37,66.0,68.0,46.0,63.0,62.0,32.0,45.0,66.0,33.0,45.0,47.0
2025-01-02 01:39:00,47,37.0,66.0,68.0,46.0,63.0,62.0,32.0,45.0,66.0,33.0,52.0
2025-01-02 01:40:00,51,47.0,37.0,66.0,68.0,46.0,63.0,62.0,32.0,45.0,66.0,50.0
2025-01-02 01:41:00,53,51.0,47.0,37.0,66.0,68.0,46.0,63.0,62.0,32.0,45.0,40.0
2025-01-02 01:42:00,37,53.0,51.0,47.0,37.0,66.0,68.0,46.0,63.0,62.0,32.0,39.0
2025-01-02 01:43:00,50,37.0,53.0,51.0,47.0,37.0,66.0,68.0,46.0,63.0,62.0,57.0
2025-01-02 01:44:00,63,50.0,37.0,53.0,51.0,47.0,37.0,66.0,68.0,46.0,63.0,41.0
2025-01-02 01:45:00,48,63.0,50.0,37.0,53.0,51.0,47.0,37.0,66.0,68.0,46.0,51.0
2025-01-02 01:46:00,68,48.0,63.0,50.0,37.0,53.0,51.0,47.0,37.0,66.0,68.0,41.0
2025-01-02 01:47:00,31,68.0,48.0,63.0,50.0,37.0,53.0,51.0,47.0,37.0,66.0,47.0
2025-01-02 01:48:00,67,31.0,68.0,48.0,63.0,50.0,37.0,53.0,51.0,47.0,37.0,42.0
2025-01-02 01:49:00,49,67.0,31.0,68.0,48.0,63.0,50.0,37.0,53.0,51.0,47.0,55.0
2025-01-02 01:50:00,57,49.0,67.0,31.0,68.0,48.0,63.0,50.0,37.0,53.0,51.0,41.0
2025-01-02 01:51:00,45,57.0,49.0,67.0,31.0,68.0,48.0,63.0,50.0,37.0,53.0,55.0
2025-01-02 01:52:00,43,45.0,57.0,49.0,67.0,31.0,68.0,48.0,63.0,50.0,37.0,35.0
2025-01-02 01:53:00,56,43.0,45.0,57.0,49.0,67.0,31.0,68.0,48.0,63.0,50.0,46.0
2025-01-02 01:54:00,39,56.0,43.0,45.0,57.0,49.0,67.0,31.0,68.0,48.0,63.0,30.0
2025-01-02 01:55:00,42,39.0,56.0,43.0,45.0,57.0,49.0,67.0,31.0,68.0,48.0,40.0
2025-01-02 01:56:00,46,42.0,39.0,56.0,43.0,45.0,57.0,49.0,67.0,31.0,68.0,59.0
2025-01-02 01:57:00,26,46.0,42.0,39.0,56.0,43.0,45.0,57.0,49.0,67.0,31.0,27.0
2025-01-02 01:58:00,54,26.0,46.0,42.0,39.0,56.0,43.0,45.0,57.0,49.0,67.0,30.0
2025-01-02 01:59:00,34,54.0,26.0,46.0,42.0,39.0,56.0,43.0,45.0,57.0,49.0,34.0
2025-01-02 02:00:00,133,34.0,54.0,26.0,46.0,42.0,39.0,56.0,43.0,45.0,57.0,118.0
2025-01-02 02:01:00,48,133.0,34.0,54.0,26.0,46.0,42.0,39.0,56.0,43.0,45.0,57.0
2025-01-02 02:02:00,33,48.0,133.0,34.0,54.0,26.0,46.0,42.0,39.0,56.0,43.0,52.0
2025-01-02 02:03:00,53,33.0,48.0,133.0,34.0,54.0,26.0,46.0,42.0,39.0,56.0,54.0
2025-01-02 02:04:00,78,53.0,33.0,48.0,133.0,34.0,54.0,26.0,46.0,42.0,39.0,60.0
2025-01-02 02:05:00,58,78.0,53.0,33.0,48.0,133.0,34.0,54.0,26.0,46.0,42.0,50.0
2025-01-02 02:06:00,60,58.0,78.0,53.0,33.0,48.0,133.0,34.0,54.0,26.0,46.0,69.0
2025-01-02 02:07:00,50,60.0,58.0,78.0,53.0,33.0,48.0,133.0,34.0,54.0,26.0,48.0
2025-01-02 02:08:00,44,50.0,60.0,58.0,78.0,53.0,33.0,48.0,133.0,34.0,54.0,57.0
2025-01-02 02:09:00,54,44.0,50.0,60.0,58.0,78.0,53.0,33.0,48.0,133.0,34.0,45.0
2025-01-02 02:10:00,60,54.0,44.0,50.0,60.0,58.0,78.0,53.0,33.0,48.0,133.0,71.0
2025-01-02 02:11:00,52,60.0,54.0,44.0,50.0,60.0,58.0,78.0,53.0,33.0,48.0,42.0
2025-01-02 02:12:00,41,52.0,60.0,54.0,44.0,50.0,60.0,58.0,78.0,53.0,33.0,58.0
2025-01-02 02:13:00,49,41.0,52.0,60.0,54.0,44.0,50.0,60.0,58.0,78.0,53.0,59.0
2025-01-02 02:14:00,26,49.0,41.0,52.0,60.0,54.0,44.0,50.0,60.0,58.0,78.0,60.0
2025-01-02 02:15:00,49,26.0,49.0,41.0,52.0,60.0,54.0,44.0,50.0,60.0,58.0,35.0
2025-01-02 02:16:00,43,49.0,26.0,49.0,41.0,52.0,60.0,54.0,44.0,50.0,60.0,66.0
2025-01-02 02:17:00,26,43.0,49.0,26.0,49.0,41.0,52.0,60.0,54.0,44.0,50.0,35.0
2025-01-02 02:18:00,43,26.0,43.0,49.0,26.0,49.0,41.0,52.0,60.0,54.0,44.0,68.0
2025-01-02 02:19:00,39,43.0,26.0,43.0,49.0,26.0,49.0,41.0,52.0,60.0,54.0,37.0
2025-01-02 02:20:00,52,39.0,43.0,26.0,43.0,49.0,26.0,49.0,41.0,52.0,60.0,66.0
2025-01-02 02:21:00,52,52.0,39.0,43.0,26.0,43.0,49.0,26.0,49.0,41.0,52.0,62.0
2025-01-02 02:22:00,47,52.0,52.0,39.0,43.0,26.0,43.0,49.0,26.0,49.0,41.0,58.0
