dataset,model,n_exceedances,xi_hat,xi_lo,xi_hi,cvar_hat,cvar_lo,cvar_hi,n_infinite_cvar_resamples,cvar_gt_gaussian_full_ci
Huawei R4,RiskAware(Reactive),2498,-0.17359248424649013,-0.21091555902732978,-0.1433618504706488,4.619491749738433,4.475186922652207,4.7451118963274155,0,True
Huawei R4,RiskAware(Forecast_Only),2587,-0.18023426662043301,-0.21570821795844086,-0.14821536434233412,6.180252138163225,5.984790846424127,6.363414310859261,0,True
Huawei R4,RiskAware(Seasonal_Naive),2577,0.4691240841600418,0.41171435164403564,0.5267953937043778,5.88687464950748,5.216202147281246,6.731499524745885,0,True
Huawei R4,RiskAware(Linear_Seasonal),2592,0.4220889244897324,0.3651430469317514,0.478437232523537,6.872712089281793,6.157014093119797,7.768943228000554,0,True
Huawei R4,RiskAware(TCN),2592,0.5446133439958563,0.4855815040662784,0.6058089832527708,7.873796778858667,6.792615056277515,9.304141791280157,0,True
Huawei R5,RiskAware(Reactive),2233,-0.22881539597854098,-0.2669769658299385,-0.19892626077137907,2.85414962764624,2.807097226994032,2.8973562209915147,0,True
Huawei R5,RiskAware(Forecast_Only),2555,-0.30775553218976603,-0.3399846188721993,-0.2824050553898166,3.0917130327917826,3.0467726114082447,3.130800971180408,0,True
Huawei R5,RiskAware(Seasonal_Naive),2290,-0.044653865124768634,-0.08466712921391768,-0.006356090916522226,3.4303933519509693,3.3171285169467684,3.538484242511842,0,True
Huawei R5,RiskAware(Linear_Seasonal),2587,0.06680967350846136,0.022930633427908194,0.10912533727652717,3.660533891635531,3.5199280892415623,3.804365286477511,0,True
Huawei R5,RiskAware(TCN),2592,0.01479447325437806,-0.025771556607464167,0.053190316642598455,3.586036613079993,3.4705912093826883,3.6996735033730523,0,True
